user_id,song_id,title,artist,genre,mood
user_0029,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0029,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0030,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0030,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0030,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0033,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0033,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0033,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0034,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0034,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0034,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0043,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0043,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0043,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0044,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0044,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0044,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0051,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0051,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0051,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0061,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0061,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0061,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0064,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0064,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0064,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0065,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0065,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0065,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0066,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0066,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0066,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0068,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0068,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0068,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0072,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0072,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0072,song_0008,Collection everybody we,Michael Vasquez,Rock,Happy
user_0076,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0076,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0076,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0082,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0082,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0082,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0089,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0089,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0089,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0091,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0091,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0091,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0095,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0095,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0095,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0097,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0097,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0097,song_0006,Only white special,Jennifer Jones,Pop,Happy
